INSTNM,CITY,STABBR,ZIP,INSTURL,CURROPER,CCBASIC,CCUGPROF,CCSIZSET,YEARS,HCM2,main,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,first_gen,DISTANCEONLY,UGDS,UG,NPT4_ALL,NPT4_LOW,NPT4_MID,NPT4_HIGH,NPT4_PUB,NPT4_PRIV,NPT4_048_PUB,NPT4_048_PRIV,NPT4_3075_PUB,NPT4_3075_PRIV,NPT4_75UP_PUB,NPT4_75UP_PRIV,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,C150_4_POOLED,C150_L4_POOLED,RPY_3YR_RT,LO_INC_RPY_3YR_RT,MD_INC_RPY_3YR_RT,HI_INC_RPY_3YR_RT,DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,GRAD_DEBT_MDN10YR,CUML_DEBT_P90,CUML_DEBT_P75,CUML_DEBT_P25,CUML_DEBT_P10,gt_25k_p6,mn_earn_wne_p6,md_earn_wne_p6,pct10_earn_wne_p6,pct25_earn_wne_p6,pct75_earn_wne_p6,pct90_earn_wne_p6,mn_earn_wne_inc1_p6,mn_earn_wne_inc2_p6,mn_earn_wne_inc3_p6,gt_25k_p10,count_nwne_p10,count_wne_p10,mn_earn_wne_p10,md_earn_wne_p10,pct10_earn_wne_p10,pct25_earn_wne_p10,pct75_earn_wne_p10,pct90_earn_wne_p10,mn_earn_wne_inc1_p10,mn_earn_wne_inc2_p10,mn_earn_wne_inc3_p10
Peru State College,Peru,NE,68421-0010,www.peru.edu,1,18,6,9,4,0,1,1,3,4,1,40.4747,-95.7327,NULL,0.419999987,0,1534,1475,12826,NULL,NULL,NULL,12826,NULL,10534,NULL,12837,NULL,15103,NULL,6188,6188,NULL,0.374037406,NULL,0.76835443,0.684210526,0.801652893,NULL,12194,10613,13717,12000,236.2738281,31000,23350,5500,2767,0.584269643,31300,29700,7500,17700,41700,54500,27400,32700,33600,0.71784234,58,482,38800,35800,11700,23400,48500,66200,32900,39300,42600
College of Saint Mary,Omaha,NE,68106,WWW.CSM.EDU,1,20,11,6,4,0,1,1,3,4,2,41.2409,-96.0202,0.5701,0.389999986,0,691,947,18804,15987,16312,21505,NULL,18804,NULL,15987,NULL,16312,NULL,21505,26934,26934,NULL,0.389214054,NULL,0.778584392,0.696245734,0.844594595,NULL,20500,21000,22550,NULL,283.102275,38000,29500,10940,5500,0.753026605,38400,37700,8700,25200,51800,64200,33300,40700,43200,0.737837851,35,370,39300,35800,11200,23700,51600,69700,33300,41600,43000
Southeast Community College Area,Lincoln,NE,68510-2449,www.southeast.edu,1,3,2,4,2,0,1,1,2,2,1,40.8108,-96.6282,NULL,0.409999996,0,7512,7396,7555,NULL,NULL,NULL,7555,NULL,5928,NULL,7544,NULL,9634,NULL,2554,3139,NULL,NULL,0.244300285,0.717185386,0.608207343,0.795671867,0.836363636,7705,8598.5,7875,5501,148.4677147,24157,14750,3500,1750,0.609123409,31600,29600,8200,18700,41700,55300,27000,34000,35700,0.699258268,347,2966,37400,35200,9400,22300,49700,64900,32500,39400,42000
Union College,Lincoln,NE,40906-1499,www.ucollege.edu,1,22,11,8,4,0,1,1,3,4,2,40.7748,-96.6511,0.5229,0.230000004,0,759,788,19029,17642,18106,21016,NULL,19029,NULL,17642,NULL,18106,NULL,21016,20470,20470,NULL,0.438419771,NULL,0.901408451,0.855855856,NULL,NULL,16937.5,21299,16750,NULL,302.5308625,41748,29250,7500,5400,0.566539943,33900,29700,7900,16500,47600,66200,28900,37400,35400,0.637992859,38,279,42200,33300,7600,19000,52400,88500,42900,40600,43400
Vatterott College-Spring Valley,Omaha,NE,68137,www.vatterott.edu,1,10,4,2,2,0,1,2,1,2,3,41.2172,-96.0979,NULL,0.5,0,330,132,15632,15478,15576,NULL,NULL,15632,NULL,15478,NULL,15576,NULL,NULL,12538,12538,NULL,NULL,0.432515039,0.374673629,0.318181818,0.588235294,NULL,14250,14250,14250,NULL,222.041,24125,20000,6334,3167,0.437371671,23700,22700,4000,13300,31600,42700,NULL,NULL,NULL,0.69590646,31,171,33700,33300,8300,20000,44000,57700,NULL,NULL,NULL
Nebraska College of Technical Agriculture,Curtis,NE,69025-9552,NCTA.UNL.EDU,1,11,2,1,2,0,0,2,2,2,1,40.6355,-100.5102,NULL,0.25999999,0,225,234,10898,NULL,NULL,NULL,10898,NULL,9128,NULL,11154,NULL,13385,NULL,4530,8706,NULL,NULL,0.504098361,0.90843417,0.853158326,0.921403197,NULL,15799,14398,16341,16500,249.796125,31000,26065.5,7000,4068,0.715075731,37300,34400,12700,23200,46900,61600,36100,36900,38000,0.819312036,377,4826,49800,43800,16100,30100,61700,84500,48200,49100,51000
Wayne State College,Wayne,NE,68787,www.wsc.edu,1,18,9,13,4,0,1,1,3,4,1,42.2416,-97.0142,NULL,0.379999995,0,2900,2982,11142,NULL,NULL,NULL,11142,NULL,8833,NULL,10336,NULL,13457,NULL,5574,9774,NULL,0.492877619,NULL,0.861894432,0.774752475,0.905185185,NULL,12000,9000,14250,12000,236.1406035,29827,23000,5500,2750,0.625380695,30700,29100,10900,19700,38600,51400,28000,31600,31600,0.733863831,82,1131,39000,36400,12400,23800,47900,66600,35700,40700,39200
Western Nebraska Community College,Scottsbluff,NE,69361-1899,www.wncc.edu,1,3,2,2,2,0,1,1,2,2,1,41.8757,-103.6425,NULL,0.519999981,0,1478,2264,5942,NULL,NULL,NULL,5942,NULL,5281,NULL,5926,NULL,9053,NULL,2388,2724,NULL,NULL,0.230043445,0.660743134,0.59223301,0.734782609,NULL,5500,5662,5538,5500,96.78212088,14323,9860,3410,1800,0.486910999,27400,24500,4700,13000,35800,53600,24900,28300,37400,0.535310745,165,708,30200,26500,4800,13900,41300,57900,NULL,NULL,NULL
York College,York,NE,68467-2699,www.york.edu/,1,22,9,8,4,0,1,1,3,3,2,40.8675,-97.5793,0.489,0.280000001,0,456,497,17575,16400,15857,19738,NULL,17575,NULL,16400,NULL,15857,NULL,19738,15600,15600,NULL,0.352271591,NULL,0.802575107,NULL,0.797979798,0.850746269,16651,12250,22135,NULL,299.75535,37000,28208,7500,4750,0.491620123,26800,24900,6500,15200,33600,42800,NULL,NULL,NULL,0.623318374,22,223,34500,32300,8500,18600,43700,60100,31400,33100,37900
Career College of Northern Nevada,Sparks,NV,89434-7905,www.ccnn.edu,1,10,4,2,2,0,1,1,2,2,3,39.511,-119.7507,NULL,0.569999993,0,556,241,12276,12084,12631,15268,NULL,12276,NULL,12084,NULL,12631,NULL,15268,NULL,NULL,24032,NULL,0.582568168,0.42903752,0.408114558,NULL,NULL,9651,9500,10445,NULL,156.5777622,21050,16474,6464,2806,0.45348838,23800,23300,3800,10300,33300,43100,NULL,NULL,NULL,0.517571867,131,313,29100,26800,4200,13100,39300,58400,NULL,NULL,NULL
College of Southern Nevada,Las Vegas,NV,89146-1164,www.csn.edu,1,12,5,15,4,0,1,1,2,3,1,36.1584,-115.2338,NULL,0.479999989,0,29848,29905,6932,NULL,NULL,NULL,6932,NULL,6550,NULL,7516,NULL,11285,NULL,2700,9345,NULL,0.090427086,NULL,0.495362418,0.436218679,0.564439141,NULL,6620.5,7109,6657,5500,140.5741571,20142,12110,4500,2746,0.529236853,29200,26500,5000,13400,39300,57400,26500,33700,37900,0.619387209,1223,3786,35700,31900,6000,16400,48300,68700,32900,39600,48800
Everest College-Henderson,Henderson,NV,89074,www.everest.edu/campus/henderson,1,10,3,2,2,0,1,1,1,2,3,36.0378,-115.0461,NULL,0.540000021,0,915,429,22455,21418,23190,26616,NULL,22455,NULL,21418,NULL,23190,NULL,26616,15552,15552,NULL,NULL,0.608594423,0.24813154,0.221351616,NULL,NULL,11256,11239,11833,NULL,131.3705577,30978,22211,7255,3230,0.453315288,24200,22800,4500,12500,33500,42200,22300,27300,26400,0.498338878,224,602,27300,24800,3800,13300,36800,52500,24300,31400,NULL
University of Nevada-Las Vegas,Las Vegas,NV,89154,go.unlv.edu/,1,16,7,15,4,0,1,1,3,4,1,36.107,-115.1412,0.8512,0.400000006,0,22742,17327,11159,NULL,NULL,NULL,11159,NULL,9493,NULL,10998,NULL,15236,NULL,6690,20600,NULL,0.422079142,NULL,0.751832461,0.716298732,0.766548463,0.807650273,12608,13075,12500,12500,216.3900566,35500,24355,5800,3500,0.662147224,36600,33800,8600,19900,48400,65000,36200,36800,37200,0.760928988,542,3660,48400,43500,10600,26000,63000,85800,45900,50000,49900
University of Nevada-Reno,Reno,NV,89557,www.unr.edu/,1,16,11,15,4,0,1,1,3,4,1,39.5528,-119.8256,0.8396,0.389999986,0,15310,10134,15207,NULL,NULL,NULL,15207,NULL,12821,NULL,14633,NULL,18789,NULL,6610,20520,NULL,0.525525393,NULL,0.840762042,0.791397849,0.860606061,NULL,12000,12500,12000,11000,208.0912742,32000,23000,5500,3117,0.680753589,39800,35200,10500,20800,52300,72800,40200,38900,40300,0.782516003,282,1876,52200,45500,12700,28100,65900,91100,50800,51900,54100
Great Basin College,Elko,NV,89801,www.gbcnv.edu,1,23,5,9,4,0,1,1,2,4,1,40.8424,-115.7673,NULL,0.469999999,0,2387,2978,8188,NULL,NULL,NULL,8188,NULL,7442,NULL,8905,NULL,11958,NULL,2700,9345,NULL,0.431522624,NULL,0.650969529,0.535714286,0.715447154,NULL,8250,9322,6067,NULL,133.2246,28500,16668,3884,2750,0.529629648,34600,26400,3500,12800,48100,74600,NULL,NULL,NULL,0.618644059,101,354,38800,32000,7000,16400,56400,80700,NULL,NULL,NULL
Sierra Nevada College,Incline Village,NV,89451,www.sierranevada.edu,1,19,9,7,4,0,1,1,3,4,2,39.2459,-119.9395,NULL,0.25999999,0,476,331,27218,21434,27018,34192,NULL,27218,NULL,21434,NULL,27018,NULL,34192,28483,28483,NULL,0.527751852,NULL,0.707317073,0.647058824,NULL,NULL,15750,18625,NULL,13824.5,249.796125,37499,26500,9500,5500,0.513043463,30200,25200,3600,13400,43600,57000,NULL,NULL,NULL,0.697761178,49,268,41400,42500,11300,22000,54100,69400,38000,44700,44300
Truckee Meadows Community College,Reno,NV,89512-3999,www.tmcc.edu,1,3,1,4,2,0,1,1,2,2,1,39.5722,-119.7953,NULL,0.469999999,0,9051,9930,6903,NULL,NULL,NULL,6903,NULL,6365,NULL,7205,NULL,11714,NULL,2700,9345,NULL,NULL,0.179952155,0.551597052,0.477627471,0.617067834,NULL,7250,8000,7000,6500,111.0205,24000,14000,4172,2500,0.543252587,30800,27800,4100,13200,41800,61400,27800,35200,35900,0.644444466,378,1125,37200,32500,6800,18100,50900,73200,34700,39700,46300
Western Nevada College,Carson City,NV,89703-7399,www.wnc.edu,1,12,5,9,4,0,1,1,2,3,1,39.1862,-119.7904,NULL,0.50999999,0,3511,5117,9371,NULL,NULL,NULL,9371,NULL,9344,NULL,10822,NULL,9818,NULL,2700,9345,NULL,0.172855556,NULL,0.566532258,0.505154639,0.659722222,NULL,9500,9764.5,7897.5,7080,144.32665,28704,18330,4750,2987,0.554195821,31700,27400,6200,14300,42400,64700,NULL,NULL,NULL,0.5625,197,480,31900,28400,3200,13100,44000,61600,26700,38500,NULL
Colby-Sawyer College,New London,NH,03257-7835,www.colby-sawyer.edu,1,22,9,11,4,0,1,1,3,3,2,43.4117,-71.9758,0.8312,0.230000004,0,1395,845,22644,17900,19986,27851,NULL,22644,NULL,17900,NULL,19986,NULL,27851,37300,37300,NULL,0.556723735,NULL,0.879464286,0.8,0.87195122,0.916666667,21780,22000,19500,22250,299.75535,30750,27000,6708,3589,0.719298244,36300,33800,12500,22600,45000,66200,NULL,NULL,NULL,0.771505356,17,372,41900,38600,12900,26500,52300,72600,NULL,NULL,NULL
Daniel Webster College,Nashua,NH,03063-1300,www.dwc.edu,1,22,10,8,4,0,1,1,3,4,3,42.7764,-71.5143,0.5992,0.270000011,0,626,1099,25468,21679,24414,26972,NULL,25468,NULL,21679,NULL,24414,NULL,26972,15630,15630,NULL,0.508855416,NULL,0.848635236,NULL,0.872340426,NULL,12500,NULL,13500,17187.5,299.75535,32500,26999,5500,2750,0.757062137,45300,38100,14100,25300,53600,81700,39800,44500,47600,0.83664459,28,453,59500,51900,13100,35000,75000,107500,55400,58900,61300
Dartmouth College,Hanover,NH,03755-3529,www.dartmouth.edu,1,15,12,14,4,0,1,1,3,4,2,43.7137,-72.2603,0.0978,0.129999995,0,4154,4057,29597,7648,8258,39363,NULL,29597,NULL,7648,NULL,8258,NULL,39363,46752,46752,NULL,0.952559827,NULL,0.962063733,NULL,NULL,0.975550122,10695.5,5500,7887,14000,129.0613313,26409,18856.5,5500,2367.5,0.833333313,70500,54400,15600,33200,81600,132000,69700,74900,68400,0.847161591,64,687,99700,67100,16900,42400,119600,210500,110200,86800,101600
Franklin Pierce University,Rindge,NH,03461-0060,www.franklinpierce.edu,1,20,10,11,4,0,1,1,3,4,2,42.7823,-72.0579,0.8472,0.340000004,0,1664,1489,24266,23639,23960,24686,NULL,24266,NULL,23639,NULL,23960,NULL,24686,31000,31000,NULL,0.469619337,NULL,0.884455528,NULL,0.88045977,0.934560327,15289,17724,16000,13000,299.75535,35000,27000,6000,3333,0.618421078,32100,29700,8500,18600,41600,55000,26400,33100,33800,0.726368189,133,1206,40400,38000,10900,23000,53200,70300,33000,43500,42000
Mount Washington College,Manchester,NH,03103-9969,www.mountwashington.edu/index.aspx,1,23,6,12,4,0,1,1,2,3,3,42.9716,-71.4707,NULL,0.519999981,0,2273,2766,16841,15778,17772,20481,NULL,16841,NULL,15778,NULL,17772,NULL,20481,8016,8016,NULL,0.299073102,NULL,0.572450392,0.507120253,0.636672326,0.715025907,10784,9714,12997,12277,176.2450438,29648,19854,5500,2258,0.525761127,27400,26100,5300,14400,36600,49400,23800,29100,32200,0.612955034,362,1868,33500,30900,5800,17100,44800,61300,27800,35900,37800
New England College,Henniker,NH,3242,www.nec.edu/,1,19,9,11,4,0,1,1,3,4,2,43.177,-71.8229,0.8997,0.319999993,0,1465,731,28458,27020,23986,32213,NULL,28458,NULL,27020,NULL,23986,NULL,32213,33000,33000,NULL,0.413203802,NULL,0.775777414,NULL,NULL,0.837606838,9746,8642.5,11500,12500,299.75535,29000,19750,5500,2750,0.590436578,32700,28500,8900,16800,40900,61600,27500,34100,33800,0.66984129,27,315,38200,35600,9700,20200,48300,63700,NULL,33200,41200
Southern New Hampshire University,Manchester,NH,03106-1045,www.snhu.edu,1,18,8,13,4,0,1,1,3,4,2,43.0399,-71.4539,0.7866,0.400000006,0,17172,3099,28889,29309,27469,28745,NULL,28889,NULL,29309,NULL,27469,NULL,28745,28884,28884,NULL,0.561895754,NULL,0.832920792,0.771428571,0.831312018,NULL,7688,7036,9250,10251,249.796125,26384,15750,3666,1760,0.714484692,37200,34800,9800,22600,46900,61500,31200,38100,39600,0.757429719,160,1245,46100,41800,10000,25300,60300,82800,41100,45800,49500
University of New Hampshire-Main Campus,Durham,NH,03824-3547,www.unh.edu,1,16,12,17,4,0,1,2,3,4,1,43.1342,-70.9345,0.7784,0.230000004,0,12288,5954,23861,NULL,NULL,NULL,23861,NULL,17448,NULL,20646,NULL,27637,NULL,16496,29216,NULL,0.779850534,NULL,0.940462428,0.882485876,0.941311853,NULL,23128.5,23000,25335,22250,299.75535,32000,28800,12000,5500,0.735635221,39500,37100,14100,24200,51900,66900,37200,37900,40800,0.827197015,288,3721,52300,47300,16900,31200,66600,89300,49700,48500,54700
Keene State College,Keene,NH,03435-1506,www.keene.edu,1,20,10,14,4,0,1,1,3,4,1,42.926,-72.2814,0.8185,0.280000001,0,4643,4297,20768,NULL,NULL,NULL,20768,NULL,16464,NULL,18978,NULL,23530,NULL,12776,20161,NULL,0.627776212,NULL,0.917740337,0.85978836,0.913868613,0.942857143,20000,19420,20750,19500,288.6533,31000,27000,8250,4750,0.651967406,32500,31400,12000,21100,41600,54500,31400,32200,32800,0.774394035,96,1609,42300,39900,13100,26600,53500,71700,40300,39700,43900
University of New Hampshire at Manchester,Manchester,NH,03101-1113,manchester.unh.edu,1,21,11,6,4,0,0,2,3,3,1,42.9903,-71.4688,0.7306,0.230000004,0,781,5945,18338,NULL,NULL,NULL,18338,NULL,14984,NULL,17311,NULL,20323,NULL,13762,26482,NULL,0.424362927,NULL,0.940462428,0.882485876,0.941311853,NULL,23128.5,23000,25335,22250,299.75535,32000,28800,12000,5500,0.735635221,39500,37100,14100,24200,51900,66900,37200,37900,40800,0.827197015,288,3721,52300,47300,16900,31200,66600,89300,49700,48500,54700
Plymouth State University,Plymouth,NH,03264-1595,www.plymouth.edu,1,18,10,14,4,0,1,1,3,4,1,43.7574,-71.6912,0.7748,0.300000012,0,3986,3472,19689,NULL,NULL,NULL,19689,NULL,15729,NULL,18115,NULL,23371,NULL,12610,20030,NULL,0.556597021,NULL,0.883226126,NULL,0.884979702,0.908287293,21000,20744.5,21500,20812,299.75535,33109,27000,9500,5500,0.626490891,31400,29700,11700,20100,40200,51800,30900,30500,31900,0.728676975,112,1489,40500,37700,12700,23800,51500,68700,35300,41600,41200
NHTI-Concord's Community College,Concord,NH,03301-7412,www.nhti.edu,1,2,2,3,2,0,1,1,2,2,1,43.2236,-71.532,NULL,0.419999987,0,3826,2809,16954,NULL,NULL,NULL,16954,NULL,16419,NULL,19022,NULL,19062,NULL,7360,15936,NULL,NULL,0.217994653,0.78477306,0.705539359,0.804020101,NULL,9500,9500,9750,8250,194.285875,24725,17000,5269,2750,0.619354844,33100,30600,8900,19100,44500,60400,30300,33300,35100,0.720113873,155,1054,40700,37700,8900,22800,56700,72500,35800,41700,44600
White Mountains Community College,Berlin,NH,3570,www.wmcc.edu,1,1,1,2,2,0,1,1,2,2,1,44.5035,-71.1585,NULL,0.50999999,0,627,1471,16649,NULL,NULL,NULL,16649,NULL,16370,NULL,19858,NULL,NULL,NULL,7664,16240,NULL,NULL,0.4884,0.735241503,0.62585034,NULL,NULL,11000,11250,10998.5,NULL,175.8231659,29500,19000,5500,2750,0.57917887,31400,29800,6200,16400,44100,57400,26700,32300,38300,0.615969598,108,526,34000,31000,6700,16900,46200,63100,29100,37900,38100
River Valley Community College,Claremont,NH,03743-9707,www.rivervalley.edu,1,1,1,2,2,0,1,1,1,2,1,43.3994,-72.3333,NULL,NULL,0,898,NULL,20556,NULL,NULL,NULL,20556,NULL,20339,NULL,23322,NULL,23322,NULL,7175,15751,NULL,NULL,0.218908284,0.709459459,0.616071429,NULL,NULL,9500,11364.5,9500,NULL,199.6703693,28563,19000,5000,2750,0.767857134,39500,37900,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lakes Region Community College,Laconia,NH,3246,www.lrcc.edu,1,1,2,2,2,0,1,1,2,2,1,43.5183,-71.4639,NULL,NULL,0,1032,NULL,15531,NULL,NULL,NULL,15531,NULL,15193,NULL,18531,NULL,18684,NULL,6962,15538,NULL,NULL,0.278452846,0.719685039,0.623931624,0.746031746,NULL,9500,9500,9084,8832.5,186.6698687,25447,15000,5250,2750,0.714285731,37000,33800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Manchester Community College,Manchester,NH,6040,www.mccnh.edu,1,2,1,2,2,0,1,1,2,2,1,43.0198,-71.4835,NULL,0.469999999,0,2450,4024,14315,NULL,NULL,NULL,14315,NULL,13736,NULL,16884,NULL,16905,NULL,7168,15744,NULL,NULL,0.187079908,0.731660232,0.658031088,0.746898263,NULL,9500,9500,10186.5,8250,NULL,27750,16904,4750,2750,0.605263174,31800,30100,7200,17700,43300,57600,29400,32900,33400,0.657004833,155,828,37300,33300,8200,19000,51100,70600,33800,39900,40800
Nashua Community College,Nashua,NH,03063-1026,www.nashuacc.edu,1,2,1,2,2,0,1,1,2,2,1,42.7946,-71.5235,NULL,0.449999988,0,2026,2176,14204,NULL,NULL,NULL,14204,NULL,13569,NULL,16668,NULL,16741,NULL,7232,15808,NULL,NULL,0.214550803,0.734434562,NULL,0.770072993,NULL,7804,7500,6500,NULL,167.646506,21000,14250,3596,2113,0.606783926,31600,29500,6500,17300,43700,57500,27300,34500,33600,0.668953717,97,583,36900,34500,7300,19600,49700,65900,29600,41300,41500
Great Bay Community College,Portsmouth,NH,03801-2879,www.greatbay.edu,1,2,1,2,2,0,1,1,2,2,1,43.0447,-70.8903,NULL,NULL,0,1890,NULL,16480,NULL,NULL,NULL,16480,NULL,16031,NULL,18804,NULL,18859,NULL,7008,15584,NULL,NULL,0.092788402,0.778963415,0.72243346,NULL,NULL,7500,8114,8250,NULL,155.4287,23179,14222,3500,2250,0.642857134,36700,33400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rivier University,Nashua,NH,3060,www.rivier.edu,1,18,6,10,4,0,1,1,3,4,2,42.7383,-71.4555,0.8928,0.409999996,0,1524,1435,25052,18730,23015,28258,NULL,25052,NULL,18730,NULL,23015,NULL,28258,28055,28055,NULL,0.550427632,NULL,0.886456908,NULL,0.84765625,0.943396226,21000,NULL,21000,20701,299.75535,38167,28000,10000,5354,0.745247126,40800,38400,12900,24800,56000,69700,36400,42600,41200,0.78435117,51,524,45100,42800,13500,27500,57900,75900,41100,45100,47000
Saint Anselm College,Manchester,NH,03102-1310,www.anselm.edu,1,21,10,11,4,0,1,1,3,3,2,42.9851,-71.5082,0.7365,0.180000007,0,1912,1985,29704,23353,24187,32063,NULL,29704,NULL,23353,NULL,24187,NULL,32063,35204,35204,NULL,0.74385,NULL,0.953692115,NULL,NULL,0.966173362,27000,NULL,27000,26500,299.75535,33000,27000,12750,5500,0.797716141,43800,41700,16200,28300,57800,72500,NULL,43900,44100,0.876811624,43,690,58100,55300,20200,38500,73900,92200,49800,52500,61100
Granite State College,Concord,NH,03301-3471,www.granite.edu,1,21,5,6,4,0,1,1,3,4,1,43.1903,-71.5064,NULL,0.439999998,0,1680,2002,14515,NULL,NULL,NULL,14515,NULL,14232,NULL,14609,NULL,17451,NULL,7065,7545,NULL,0.209682258,NULL,0.730874317,0.654794521,NULL,NULL,9964,10871.5,9500,9290,196.1177133,34620,20226,3865,1466,0.645161271,34300,30000,7500,17800,45900,59500,25800,36900,44700,0.625235379,123,531,34300,32100,6200,17900,46600,63400,28400,38100,40000
Thomas More College of Liberal Arts,Merrimack,NH,3054,www.thomasmorecollege.edu,1,21,9,8,4,0,1,1,3,3,2,42.8077,-71.4836,NULL,0.289999992,0,80,22,18882,16520,17375,23425,NULL,18882,NULL,16520,NULL,17375,NULL,23425,19800,19800,NULL,0.395334884,NULL,NULL,NULL,NULL,1,25000,NULL,NULL,NULL,299.75535,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Atlantic Cape Community College,Mays Landing,NJ,08330-2699,www.atlantic.edu,1,3,2,4,2,0,1,1,2,2,1,39.4614,-74.6823,NULL,0.600000024,0,6762,5162,16504,NULL,NULL,NULL,16504,NULL,15635,NULL,17069,NULL,20427,NULL,3955,7195,NULL,NULL,0.168656867,0.596423017,0.549707602,0.612,NULL,6800,7500,6200,7049,116.571525,18346,11500,3500,2000,0.430830032,25800,22000,4800,12100,34100,50700,23600,28900,30600,0.567335248,386,1745,33000,28800,5600,15200,47100,65000,30500,35500,38500
Bergen Community College,Paramus,NJ,07652-1595,www.bergen.edu,1,4,2,5,2,0,1,1,2,2,1,40.9537,-74.0941,NULL,0.519999981,0,14688,11993,7160,NULL,NULL,NULL,7160,NULL,7132,NULL,11917,NULL,NULL,NULL,4147,7854,NULL,NULL,0.169476943,0.715064758,0.663201663,0.716753022,NULL,5500.5,5500,6000,6000,105.469475,16400,10500,3500,2000,0.528670728,30300,26200,5000,13600,42400,60900,28200,32800,33000,0.646844029,369,1917,39600,35500,6900,17600,55600,76200,37500,41200,44800
Bloomfield College,Bloomfield,NJ,7003,www.bloomfield.edu/,1,21,9,9,4,0,1,1,3,4,2,40.7942,-74.1959,0.5464,0.5,0,1906,1785,20718,18800,21341,29611,NULL,20718,NULL,18800,NULL,21341,NULL,29611,25880,25880,NULL,0.365656916,NULL,0.617252931,0.580829757,0.608823529,NULL,18500,16950,20000,18750,344.16355,43858,32000,8750,4750,0.604767859,34200,30800,6400,16000,49200,66800,30700,36800,37900,0.706624627,89,634,41600,39000,7800,21500,57400,71900,38800,42000,49700
Brookdale Community College,Lincroft,NJ,07738-1597,www.brookdalecc.edu,1,4,2,5,2,0,1,1,2,2,1,40.3249,-74.1327,NULL,0.529999971,0,12492,11552,6798,NULL,NULL,NULL,6798,NULL,5152,NULL,6869,NULL,11048,NULL,3437,6809,NULL,NULL,0.21719521,0.674148607,0.583858764,0.679389313,NULL,7426,6000,7125,8500,116.571525,17500,12000,3502,2000,0.483870953,27700,24400,4500,11900,38200,55700,25100,29200,31300,0.623546541,423,2064,37700,32900,4900,15700,52500,74500,34900,39300,42300
Burlington County College,Pemberton,NJ,08068-1599,www.bcc.edu,1,5,2,4,2,0,1,1,2,2,1,39.9644,-74.6455,NULL,0.529999971,0,8790,6122,7419,NULL,NULL,NULL,7419,NULL,6200,NULL,8167,NULL,10955,NULL,3765,6195,NULL,NULL,0.205287302,0.762244898,0.707482993,0.742647059,NULL,5500,5500,5500,NULL,108.2449875,16057,10500,3500,1750,0.540669858,29800,26800,4600,14000,40300,58700,27800,31300,32800,0.667016804,224,952,38900,34600,6000,19000,52000,71300,35500,41800,40500
Caldwell College,Caldwell,NJ,07006-6195,www.caldwell.edu,1,19,7,10,4,0,1,1,3,4,2,40.8343,-74.2737,0.6408,0.479999989,0,1570,1844,18595,15081,18115,22639,NULL,18595,NULL,15081,NULL,18115,NULL,22639,29000,29000,NULL,0.520893728,NULL,0.777929155,0.719471947,0.791836735,NULL,19125,17925,20000,NULL,294.193223,39125,29250,9500,5250,0.664429545,36100,33800,7400,19500,48600,63500,32300,37100,38500,0.776180685,75,487,48100,46200,10600,27300,63600,83800,42000,50500,50200
Camden County College,Blackwood,NJ,8012,www.camdencc.edu,1,5,2,5,2,0,1,1,2,2,1,39.7851,-75.0405,NULL,0.550000012,0,12096,12131,8746,NULL,NULL,NULL,8746,NULL,8367,NULL,9108,NULL,9980,NULL,4140,4260,NULL,NULL,0.126182888,0.615659635,0.546793761,0.644240571,NULL,5500,5000,5500,5700,105.469475,16185,10200,3000,1922,0.481636584,27500,24100,3500,12200,38000,57600,24200,30800,34400,0.614222527,661,2714,36400,31900,5500,15700,51000,70700,32300,41000,42900
Centenary College,Hackettstown,NJ,7840,www.centenarycollege.edu,1,19,9,11,4,0,1,1,3,4,2,40.8487,-74.8328,0.9094,0.460000008,0,1708,1202,25419,16826,25971,32300,NULL,25419,NULL,16826,NULL,25971,NULL,32300,30540,30540,NULL,0.527668858,NULL,0.861396304,NULL,0.86627907,0.889487871,19837.5,NULL,20300,18750,277.55125,35332,27000,9500,4750,0.672752798,38700,35200,8200,20500,50600,71900,29500,39600,42100,0.718562901,65,501,46400,41600,9400,22500,63100,86400,34900,50900,48400
