INSTNM,CITY,STABBR,INSTURL,HCM2,main,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,LATITUDE,LONGITUDE,ADM_RATE,first_gen,DISTANCEONLY,UGDS,UG,NPT4_PUB,NPT4_PRIV,NPT4_048_PUB,NPT4_048_PRIV,NPT4_3075_PUB,NPT4_3075_PRIV,NPT4_75UP_PUB,NPT4_75UP_PRIV,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,C150_4_POOLED,C150_L4_POOLED,RPY_3YR_RT,LO_INC_RPY_3YR_RT,MD_INC_RPY_3YR_RT,HI_INC_RPY_3YR_RT,DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,GRAD_DEBT_MDN10YR,CUML_DEBT_P90,CUML_DEBT_P75,CUML_DEBT_P25,CUML_DEBT_P10,gt_25k_p10,count_nwne_p10,count_wne_p10,mn_earn_wne_p10,md_earn_wne_p10,pct10_earn_wne_p10,pct25_earn_wne_p10,pct75_earn_wne_p10,pct90_earn_wne_p10,mn_earn_wne_inc1_p10,mn_earn_wne_inc2_p10,mn_earn_wne_inc3_p10,CURROPER
Birmingham Southern College,Birmingham,AL,www.bsc.edu/,0,1,1,3,3,2,33.5155,-86.8536,0.6422,0.170000002,0,1181,1395,NULL,22994,NULL,15954,NULL,18902,NULL,26114,30690,30690,NULL,0.633327199,NULL,0.84984985,0.756097561,0.864,0.896825397,21500,PrivacySuppressed,24625,21500,299.75535,36000,27000,7500,5328,0.741312742,22,259,45300,41900,9800,23500,60500,77600,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Chattahoochee Valley Community College,Phenix City,AL,www.cv.edu,0,1,1,2,2,1,32.4239,-85.0315,NULL,0.519999981,0,1769,1748,1873,NULL,1366,NULL,2554,NULL,6119,NULL,4260,7590,NULL,NULL,0.140052962,0.528708134,0.439849624,PrivacySuppressed,PrivacySuppressed,4569,4500,4750,3834.5,77.71435,12160,7040.5,3022,1850,0.557142854,153,630,31200,27700,5500,15600,40600,58700,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Concordia College Alabama,Selma,AL,www.ccal.edu/,0,1,1,3,3,2,32.4223,-87.0242,NULL,0.519999981,0,523,532,NULL,12686,NULL,11822,NULL,14121,NULL,17505,8090,8090,NULL,0.134843721,NULL,0.254125413,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,8050,8250,8750,5500,294.204325,23000,14250,4750,2750,0.384792626,122,434,24400,21300,5400,13800,33300,44500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
South University-Montgomery,Montgomery,AL,southuniversity.edu,0,0,16,2,4,3,32.3427,-86.2165,0.4366,0.5,0,599,207,NULL,23152,NULL,22773,NULL,24843,NULL,27042,16360,16360,NULL,0.109872527,NULL,0.349280501,0.297383876,0.433681893,0.608558842,9500,8666.5,10377,12160,301.6093924,33447,19713,4750,2334,0.607204139,266,1166,35500,29800,7100,16600,45900,67200,30200,41900,45300,1
Enterprise State Community College,Enterprise,AL,www.escc.edu,0,1,1,2,2,1,31.2975,-85.837,NULL,0.49000001,0,1984,1590,5048,NULL,4536,NULL,5625,NULL,9843,NULL,3780,6888,NULL,NULL,0.17611165,0.554301834,0.439588689,0.661157025,PrivacySuppressed,6000,6082,5500,PrivacySuppressed,122.9329997,16845,11499,3000,1816,0.515772879,142,634,30600,26300,5700,14200,41500,58700,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
James H Faulkner State Community College,Bay Minette,AL,www.faulknerstate.edu,0,1,1,2,2,1,30.852,-87.7798,NULL,0.50999999,0,4182,2775,7404,NULL,6574,NULL,8021,NULL,10470,NULL,4200,7530,NULL,NULL,0.119246616,0.590852905,0.486891386,0.667903525,PrivacySuppressed,5500,5498,5673,5500,101.6170637,13989,9500,2950,1823,0.570409954,240,1122,31700,28900,5100,15300,43300,59500,29400,33400,39100,1
Faulkner University,Montgomery,AL,www.faulkner.edu,0,1,1,3,4,2,32.3842,-86.2164,NULL,0.469999999,0,2358,612,NULL,17660,NULL,18018,NULL,18567,NULL,15626,18230,18230,NULL,0.270732323,NULL,0.563029397,0.477796053,0.65154265,PrivacySuppressed,18750,18750,17615,14000,263.6736875,38750,28496,8750,4500,0.714395106,226,1306,43500,37600,9800,22300,56600,80700,34200,46200,57700,1
Gadsden State Community College,Gadsden,AL,www.gadsdenstate.edu,0,1,1,2,2,1,33.9919,-85.9913,NULL,0.569999993,0,5480,4787,4565,NULL,4534,NULL,5225,NULL,5143,NULL,3900,7230,NULL,NULL,0.149885594,NULL,NULL,NULL,NULL,333,NULL,NULL,NULL,NULL,333,333,333,333,0.530685902,410,1385,29900,26900,5600,13500,42200,58300,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
New Beginning College of Cosmetology,Albertville,AL,www.nbccosmetology.com,0,1,1,1,1,3,34.2593,-86.2,NULL,NULL,0,89,NULL,NULL,9476,NULL,8954,NULL,11363,NULL,13482,NULL,NULL,9150,NULL,0.765974468,NULL,NULL,NULL,NULL,7901,9500,PrivacySuppressed,PrivacySuppressed,105.3584545,13055,11717,5500,3555,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
George C Wallace State Community College-Dothan,Dothan,AL,www.wallace.edu,0,1,1,2,2,1,31.3161,-85.4636,NULL,0.560000002,0,4293,3612,2681,NULL,2551,NULL,3647,NULL,2590,NULL,3900,7230,NULL,NULL,0.141220042,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,NULL,PrivacySuppressed,1875,1875,528,528,0.541743994,454,1617,31900,27100,7100,15100,43100,64200,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
George C Wallace State Community College-Hanceville,Hanceville,AL,www.wallacestate.edu,0,1,1,2,2,1,34.0734,-86.7817,NULL,0.610000014,0,4904,4696,6628,NULL,6295,NULL,7489,NULL,9509,NULL,4200,7530,NULL,NULL,0.212370465,0.606629393,0.521706587,0.68112544,0.81496063,8250,9000,8655,6062,125.7862265,25498,15905,4000,2259,0.554073036,404,1424,30600,27800,4900,14900,42800,57100,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
George C Wallace State Community College-Selma,Selma,AL,www.wccs.edu,0,1,1,2,2,1,32.4456,-87.0132,NULL,0.600000024,0,1604,1445,8712,NULL,8648,NULL,8873,NULL,NULL,NULL,3900,7230,NULL,NULL,0.244038312,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,NULL,PrivacySuppressed,3475,3475,1000,1000,0.485791624,205,739,29300,24400,6100,14000,39400,57100,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Herzing University-Birmingham,Birmingham,AL,www.herzing.edu/birmingham,0,0,11,1,3,3,33.4681,-86.8323,0.7234,0.460000008,0,318,534,NULL,22518,NULL,22351,NULL,22559,NULL,25064,11150,11150,NULL,0.323541176,NULL,0.474266474,0.41131815,0.584848485,PrivacySuppressed,12000,10147,16362,15510,253.3709851,35472,23461,4830,2560,0.763157904,49,418,44100,42300,12300,26100,58400,77200,40100,44300,47900,1
Huntingdon College,Montgomery,AL,www.huntingdon.edu,0,1,1,3,3,2,32.3509,-86.2853,0.6279,0.400000006,0,1100,657,NULL,17864,NULL,16518,NULL,17438,NULL,19240,23500,23500,NULL,0.447984076,NULL,0.781431335,0.741758242,0.784615385,0.828571429,16850,15000,18880,PrivacySuppressed,299.75535,38500,28480,6451,3750,0.695067286,22,223,40300,37100,9100,22000,47100,73200,38300,39400,42600,1
Heritage Christian University,Florence,AL,www.hcu.edu,0,1,1,3,4,2,34.8591,-87.6621,NULL,0.5,0,67,95,NULL,9346,NULL,9346,NULL,NULL,NULL,NULL,9792,9792,NULL,0.20001,NULL,0.511627907,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.618181825,14,55,43400,32700,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
J F Drake State Community and Technical College,Huntsville,AL,www.drakestate.edu,0,1,1,1,2,1,34.7721,-86.5738,NULL,0.620000005,0,1040,543,7163,NULL,7173,NULL,7347,NULL,NULL,NULL,3336,6000,NULL,NULL,0.137649032,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,NULL,NULL,1862,1862,356,356,0.474999994,97,320,27300,23500,7000,13600,36000,49500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Jacksonville State University,Jacksonville,AL,www.jsu.edu/,0,1,1,3,4,1,33.8221,-85.7666,0.8326,0.430000007,0,7195,6491,16078,NULL,14523,NULL,16858,NULL,19189,NULL,7092,13884,NULL,0.297699661,NULL,0.627607888,0.548143852,0.675468484,0.765765766,16500,16151,17250,15000,260.898175,42875,29250,8250,4750,0.679775298,359,2314,36600,35100,9000,20700,47500,64200,34000,38000,39000,1
Jefferson Davis Community College,Brewton,AL,www.jdcc.edu,0,1,1,2,2,1,31.102,-87.0858,NULL,0.610000014,0,1037,1129,3796,NULL,3736,NULL,4244,NULL,3599,NULL,3908,7238,NULL,NULL,0.282789097,NULL,NULL,NULL,NULL,2000,NULL,NULL,NULL,NULL,2000,2000,2000,2000,0.561165035,120,515,30900,27200,6500,15200,42700,58600,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Jefferson State Community College,Birmingham,AL,www.jeffstateonline.com,0,1,1,2,2,1,33.6524,-86.7074,NULL,0.50999999,0,7494,5652,8799,NULL,8030,NULL,9690,NULL,12676,NULL,4260,7590,NULL,NULL,0.087277462,0.622807018,0.536764706,0.668325041,PrivacySuppressed,5057,4500,5500,5500,111.0205,13916,9250,2250,1750,0.60366714,356,1418,33400,30300,8000,18200,44600,61200,30400,36200,40200,1
John C Calhoun State Community College,Tanner,AL,www.calhoun.edu,0,1,1,2,2,1,34.6543,-86.9491,NULL,0.560000002,0,9970,7719,5278,NULL,4235,NULL,6413,NULL,9517,NULL,4140,7410,NULL,NULL,0.127015979,0.543043812,0.456890199,0.618311534,0.693333333,5500,5500,6250,5500,110.354377,16000,10071,3250,1945,0.539932013,556,2354,31700,27200,6000,14000,43600,62800,28600,36600,37400,1
Judson College,Marion,AL,www.judson.edu,0,1,1,3,3,2,32.6305,-87.3161,0.7388,0.439999998,0,331,321,NULL,17243,NULL,15779,NULL,18371,NULL,19504,15630,15630,NULL,0.390415068,NULL,0.718120805,0.620689655,PrivacySuppressed,PrivacySuppressed,14250,13708,14900,PrivacySuppressed,288.6533,33410,23500,5985,4670,0.661654115,33,133,33800,30700,9300,19200,42800,57100,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Lawson State Community College-Birmingham Campus,Birmingham,AL,www.lawsonstate.edu,0,1,1,1,2,1,33.4517,-86.8902,NULL,0.449999988,0,2894,1673,7406,NULL,7376,NULL,7754,NULL,NULL,NULL,4230,7590,NULL,NULL,0.178993385,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,NULL,NULL,5000,5000,833,833,0.441414148,259,990,26700,22300,6100,13400,36500,51500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
University of West Alabama,Livingston,AL,www.uwa.edu,0,1,1,3,4,1,32.5924,-88.1861,0.9957,0.5,0,1988,1595,13221,NULL,12204,NULL,13761,NULL,15605,NULL,7660,14170,NULL,0.330417768,NULL,0.543230016,0.479415671,0.600649351,PrivacySuppressed,13500,14184,13500,11000,249.796125,38075,26199,5500,2750,0.666134179,73,626,36600,33800,8500,20000,48500,63700,33200,38600,41300,1
Lurleen B Wallace Community College,Andalusia,AL,www.lbwcc.edu,0,1,1,1,2,1,31.3229,-86.4523,NULL,0.569999993,0,1372,802,8041,NULL,7936,NULL,8757,NULL,NULL,NULL,4170,7500,NULL,NULL,0.206851523,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,NULL,NULL,3400,3400,1140,1140,0.563583791,64,346,31800,28000,7900,16000,43300,60100,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Marion Military Institute,Marion,AL,www.marionmilitary.edu,0,1,1,2,2,1,32.6224,-87.318,0.6034,0.340000004,0,411,175,11013,NULL,8476,NULL,10501,NULL,14042,NULL,8570,14570,NULL,NULL,0.248426708,0.606217617,0.403225806,0.666666667,0.741935484,5500,5500,PrivacySuppressed,5500,127.673575,12000,11096,4640,2750,0.797752798,10,89,53000,48500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Miles College,Fairfield,AL,www.miles.edu,0,1,1,3,3,2,33.4813,-86.9086,NULL,0.409999996,0,1663,1502,NULL,15217,NULL,14676,NULL,15528,NULL,19757,11454,11454,NULL,0.189705012,NULL,0.216788916,0.206047032,0.230769231,PrivacySuppressed,12908.5,11477,15840,PrivacySuppressed,405.9908665,41753,28976.5,5500,4019,0.536516845,130,712,28700,27200,6400,15200,39100,51200,26700,31900,32100,1
University of Mobile,Mobile,AL,www.umobile.edu,0,1,1,3,4,2,30.7932,-88.1289,0.7125,0.419999987,0,1472,1764,NULL,17970,NULL,16169,NULL,18594,NULL,19654,18690,18690,NULL,0.457751174,NULL,0.755856967,0.662198391,0.804597701,PrivacySuppressed,22500,24500,23000,PrivacySuppressed,299.75535,47000,33500,10750,5500,0.694444418,111,720,40900,37800,9600,20200,55300,73400,37100,43300,43900,1
University of Montevallo,Montevallo,AL,www.montevallo.edu,0,1,1,3,4,1,33.1063,-86.8651,0.8729,0.400000006,0,2610,2557,15003,NULL,13253,NULL,15065,NULL,17219,NULL,10000,19690,NULL,0.459535962,NULL,0.771186441,0.688,0.803125,PrivacySuppressed,15872,16500,17250,15000,259.78797,37500,27250,7500,4500,0.714086473,94,717,36300,35100,9900,23000,46600,62300,32300,39500,36700,1
Northwest-Shoals Community College,Muscle Shoals,AL,www.nwscc.edu,0,1,1,2,2,1,34.7396,-87.6773,NULL,0.639999986,0,3235,3826,4678,NULL,4241,NULL,5729,NULL,8354,NULL,4140,7470,NULL,NULL,0.119236338,0.509727626,0.427828349,0.637795276,0.685714286,5500,7000,5000,4203,127.673575,19605,11500,3000,1750,0.521191299,424,1746,30200,26300,5900,14200,40800,59300,27100,35300,36700,1
University of North Alabama,Florence,AL,www.una.edu,0,1,1,3,4,1,34.8066,-87.681,0.8092,0.449999988,0,5536,4944,11476,NULL,11413,NULL,11636,NULL,11973,NULL,7078,12670,NULL,0.322248727,NULL,0.687901008,0.578892372,0.750328515,PrivacySuppressed,12542,11667,12750,14000,241.4695875,33159,24312,5500,3500,0.713467062,189,1396,39500,36300,9800,22600,50600,68400,35700,41300,42400,1
Northeast Alabama Community College,Rainsville,AL,www.nacc.edu,0,1,1,2,2,1,34.5455,-85.9117,NULL,0.660000026,0,2376,1659,2544,NULL,2453,NULL,3285,NULL,2310,NULL,4200,7530,NULL,NULL,0.259129103,0.608823529,0.527415144,0.704166667,PrivacySuppressed,3500,3500,3900,5275,56.620455,10011.5,6700,2000,1300,0.577304959,184,705,31700,28700,5300,15200,43600,58100,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Oakwood University,Huntsville,AL,www.oakwood.edu,0,1,1,3,4,2,34.7566,-86.6616,0.3435,0.209999993,0,1854,1767,NULL,26954,NULL,25847,NULL,26856,NULL,29375,16234,16234,NULL,0.371902479,NULL,0.439215686,0.384848485,0.473498233,PrivacySuppressed,22000,19000,24375,22000,338.612525,47750,35500,10500,5500,0.671081662,68,453,38800,33700,7900,18100,49900,75600,33100,39600,45600,1
Alabama Southern Community College,Monroeville,AL,www.ascc.edu,0,1,1,2,2,1,31.4889,-87.3264,NULL,0.620000005,0,1218,1261,4998,NULL,4893,NULL,6080,NULL,NULL,NULL,4200,7530,NULL,NULL,0.249409489,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.458128065,183,609,27500,23200,4400,13600,36600,55300,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Prince Institute-Southeast,Montgomery,AL,princeinstitute.edu,0,1,3,2,2,3,32.3831,-86.1622,NULL,0.430000007,0,102,94,NULL,20904,NULL,19993,NULL,19076,NULL,24626,9685,9685,NULL,NULL,0.258634483,0.702702703,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,12667,10000,16595.5,PrivacySuppressed,241.347465,43376.5,25332,5452,2505.5,0.634615362,16,52,28700,29000,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Reid State Technical College,Evergreen,AL,www.rstc.edu,0,1,1,1,2,1,31.4607,-86.9645,NULL,0.649999976,0,414,706,4912,NULL,5095,NULL,3953,NULL,NULL,NULL,4260,7590,NULL,NULL,0.356089773,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.409909904,158,444,24200,20100,5200,11800,33200,45700,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Bishop State Community College,Mobile,AL,www.bishop.edu,0,1,1,2,2,1,30.694,-88.057,NULL,0.50999999,0,3363,4058,5145,NULL,5118,NULL,5563,NULL,NULL,NULL,4200,7530,NULL,NULL,0.124901203,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,NULL,NULL,2130,2130,1353,1353,0.446047008,513,1872,27400,22600,5900,13400,37200,54300,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Samford University,Birmingham,AL,www.samford.edu,0,1,1,3,4,2,33.4646,-86.7909,0.7697,0.189999998,0,2995,2870,NULL,24093,NULL,17224,NULL,22976,NULL,26997,26328,26328,NULL,0.702598672,NULL,0.915360502,PrivacySuppressed,0.913705584,PrivacySuppressed,20000,PrivacySuppressed,20427,19437.5,257.9672338,33500,27000,11000,5500,0.788461566,102,780,57900,45800,12600,27700,74400,124000,73000,55200,49500,1
Selma University,Selma,AL,selmauniversity.org,0,1,1,3,4,2,32.4204,-87.0338,NULL,NULL,0,447,NULL,NULL,8427,NULL,8427,NULL,8718,NULL,NULL,5840,5840,NULL,0.395748338,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,3775,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,12250,8000,2300,1750,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
Shelton State Community College,Tuscaloosa,AL,www.sheltonstate.edu,0,1,1,2,2,1,33.1205,-87.5615,NULL,0.529999971,0,4859,5330,8587,NULL,8395,NULL,9682,NULL,11557,NULL,3900,7230,NULL,NULL,0.093549825,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.485964924,440,1710,28500,24300,4800,13100,38500,55800,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Snead State Community College,Boaz,AL,www.snead.edu,0,1,1,2,2,1,34.2007,-86.1695,NULL,0.589999974,0,2161,1579,3884,NULL,3766,NULL,4142,NULL,6668,NULL,4260,7590,NULL,NULL,0.303575146,NULL,NULL,NULL,NULL,3500,3077,3500,3500,49.959225,7000,4500,1750,1043,0.52072072,166,555,29300,26000,5500,15800,38700,52700,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
University of South Alabama,Mobile,AL,www.southalabama.edu,0,1,1,3,4,1,30.6951,-88.1819,0.8604,0.430000007,0,11048,9232,13027,NULL,10460,NULL,13176,NULL,17061,NULL,6948,13596,NULL,0.350631543,NULL,0.701489269,0.63446712,0.750668449,0.805970149,15000,15000,15000,14627,277.55125,41247,28000,6500,3500,0.718304873,416,2808,45200,38300,10500,23300,56500,78800,43100,45500,48600,1
Spring Hill College,Mobile,AL,www.shc.edu,0,1,1,3,4,2,30.6948,-88.1382,0.4627,0.289999992,0,1269,1227,NULL,18555,NULL,15365,NULL,17929,NULL,21715,30924,30924,NULL,0.588991724,NULL,0.811918063,0.725388601,PrivacySuppressed,PrivacySuppressed,20500,19375,PrivacySuppressed,21083.5,299.75535,41458,29500,8000,4750,0.799479187,44,384,50000,43800,15500,30900,62300,84300,47900,48100,52400,1
Southeastern Bible College,Birmingham,AL,www.sebc.edu,0,1,1,3,3,2,33.3789,-86.749,0.9615,0.430000007,0,160,52,NULL,12954,NULL,11513,NULL,15907,NULL,NULL,11370,11370,NULL,0.239086957,NULL,0.496062992,0.420289855,PrivacySuppressed,PrivacySuppressed,19414.5,18000,20000,PrivacySuppressed,333.9829702,46969.5,31000,9500,4750,0.611764729,17,85,35000,28800,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
Stillman College,Tuscaloosa,AL,www.stillman.edu,0,1,1,3,3,2,33.1992,-87.5852,0.43,0.409999996,0,863,1530,NULL,17473,NULL,17736,NULL,17928,NULL,17650,15901,15901,NULL,0.257584545,NULL,0.293563579,0.265882353,0.283018868,PrivacySuppressed,19000,19000,19987,PrivacySuppressed,425.863536,49500,36750,9500,4750,0.495440722,114,658,27900,24700,5100,13800,38500,51500,26400,29000,34300,1
Talladega College,Talladega,AL,www.talladega.edu,0,1,1,3,3,2,33.4343,-86.1137,NULL,0.479999989,0,894,475,NULL,9062,NULL,9068,NULL,9103,NULL,9154,11492,11492,NULL,0.494891525,NULL,0.292479109,0.254032258,PrivacySuppressed,PrivacySuppressed,19000,17825.5,19785.5,PrivacySuppressed,355.2656,40960,30342.5,9500,5500,0.514423072,48,208,27300,25600,4300,12300,38200,53300,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1
